ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-SU4+StopWordRemoval,FNS30854,30854.TXT,0.33657,0.06446,0.10819,4

ROUGE-L+StopWordRemoval,FNS30852,30852.TXT,0.52510,0.24386,0.33305,3

ROUGE-1+StopWordRemoval,FNS30852,30852.TXT,0.53120,0.17767,0.26628,3

ROUGE-2+StopWordRemoval,FNS30852,30852.TXT,0.19155,0.05769,0.08868,3

ROUGE-SU4+StopWordRemoval,FNS30852,30852.TXT,0.27346,0.08885,0.13412,3

ROUGE-L+StopWordRemoval,FNS31260,31260.TXT,0.50532,0.19312,0.27944,3

ROUGE-1+StopWordRemoval,FNS31260,31260.TXT,0.61216,0.13564,0.22207,3

ROUGE-2+StopWordRemoval,FNS31260,31260.TXT,0.19487,0.04440,0.07232,3

ROUGE-SU4+StopWordRemoval,FNS31260,31260.TXT,0.31577,0.07319,0.11884,3

ROUGE-L+StopWordRemoval,FNS30850,30850.TXT,0.51414,0.26648,0.35102,3

ROUGE-1+StopWordRemoval,FNS30850,30850.TXT,0.62832,0.15703,0.25126,3

ROUGE-2+StopWordRemoval,FNS30850,30850.TXT,0.20964,0.05079,0.08177,3

ROUGE-SU4+StopWordRemoval,FNS30850,30850.TXT,0.34515,0.08131,0.13161,3

ROUGE-L+StopWordRemoval,FNS31383,31383.TXT,0.43327,0.25160,0.31834,4

ROUGE-1+StopWordRemoval,FNS31383,31383.TXT,0.50636,0.18310,0.26894,4

ROUGE-2+StopWordRemoval,FNS31383,31383.TXT,0.18560,0.06478,0.09604,4

